"","Protection","min","p5th","median","p95th","max","mean","sd","varname"
"94","Multi-use cat",84.4504890444,246.2105719971,738.915224722,1594.050085749,5072.97491939,833.143993306092,473.955701731524,"Precip8110Cat"
"95","Unprotected",60.9610481262,356.454231932,921.916092473,1492.3235584985,4446.95648853,904.089605828465,375.34704792515,"Precip8110Cat"
"96","Strict center",-4.76679898965,-0.463517584907,6.42067195048,23.3105021141,25.3394199885,9.02640513723323,7.4774852978881,"Tmean8110Cat"
"97","Strict cat",-4.10557184845,0.76597403947775,11.79182757085,23.744937004,25.3394199885,12.6009958306972,8.23336171381581,"Tmean8110Cat"
"98","Multi-use center",-3.58562318699,1.2603890232525,6.544936479795,21.433891622475,24.6381469227,7.98611222188004,5.71058357612114,"Tmean8110Cat"
"99","Multi-use cat",-3.05183808396,0.4106253500748,5.40566436207,21.75144395946,24.5426959992,7.12402772164311,6.03877878838149,"Tmean8110Cat"
"100","Unprotected",-4.48960082852,4.1481342678685,11.71825597445,21.502329321035,25.1476777729,12.132239753976,5.73024948079211,"Tmean8110Cat"
"101","Strict center",0,11,282,777,3740,334.564623308708,355.129329641593,"RunoffCat"
"102","Strict cat",0,11,293,773,3740,347.065689441911,357.833630511134,"RunoffCat"
"103","Multi-use center",0,11,211,676,3740,259.716302088112,276.93539971383,"RunoffCat"
"104","Multi-use cat",0,12,225,677.150484094052,3740,269.265482273672,286.239427709003,"RunoffCat"
"105","Unprotected",0,6,250,664,3740,264.693183606359,239.946346185454,"RunoffCat"
"106","Strict center",0.105263157894737,14,53,75,89,48.2569354430067,19.7149968498706,"BFICat"
"107","Strict cat",0.105263157894737,10,47,74,88,44.7409654370991,21.6315716133078,"BFICat"
"108","Multi-use center",0,20,55,75,88.0579925650558,51.9997269772785,16.7948591250833,"BFICat"
"109","Multi-use cat",0,24,58,76,88,55.7218382088078,15.5269406759126,"BFICat"
"110","Unprotected",0,12.7849108435136,34.0203193185085,69,90,37.6281504172154,17.747095194532,"BFICat"
