"","lagoslakeid","FullLakeArea_ha","FullLakePerimeter_km","FullLakeEdgeArea_ha","AvgFullLakeShapeIndex","FullLakeCoreArea_ha","AvgFullLakeCoreAreaIndex","nLakePatches","BuffArea_ha","EdgeLengthInBuff_km","EdgeAreaInBuff_ha","EdgeAreaInBuff_pct","BufferWidth_m"
"158","132972",218.34,13.92,39.42,3.62958333333333,894600,0.681183389015707,2,1630.18791105897,7.6251,22.8753,0.0140323086957136,2000
"159","25002",131.31,18.48,50.76,8.8920769790335,161100,0.597279668451557,5,1558.35151719447,8.4458,25.3374,0.0162591043936066,2000
"160","59406",16.56,4.8,11.34,5.01984126984127,17400,0.30276373872433,3,1554.2679775199,3.9087,11.7261,0.00754445190250332,2000
"161","3704",1130.85,54.54,155.61,6.38083958724203,3250800,0.741513864559685,3,10862.0167615264,17.1143,51.3429,0.00472682938419485,2000
"162","100775",116.46,13.8,38.88,4.13965884861407,387900,0.667076091918322,2,1673.01410315543,11.4827,34.4481,0.0205904420859504,2000
"163","17510",8.19,3.18,6.66,2.65,15300,0.186813186813187,1,2208.35784206554,2.4956,7.4868,0.00339021143104117,2000
"164","2265",6.3,1.14,2.97,1.11764705882353,33300,0.528571428571429,1,2997.63609715189,1.0026,3.0078,0.00100339063933003,2000
"165","38518",0,0,0,NA,0,NA,0,1499.58762575999,0,0,0,2000
"166","13404",110.79,18.96,51.93,9.64142022013918,117720,0.377045365440874,5,1627.01535681177,14.6347,43.9041,0.0269844410602446,2000
"167","81146",5292.72,75.54,219.78,2.59053497942387,50729400,0.958475037409876,1,1406.90578167947,8.5016,25.5048,0.0181282928339054,2000
"168","52166",0,0,0,NA,0,NA,0,2129.9033521189,0,0,0,2000
"169","116246",44.82,10.26,26.19,8.69388396616963,37260,0.352058076277691,5,1445.02764763664,7.0162,21.0486,0.0145662264901472,2000
"170","10330",9.9,1.8,4.95,1.42857142857143,49500,0.5,1,1479.1465939781,1.389,4.167,0.00281716499024822,2000
"171","65598",201.42,19.98,56.97,7.36825244216548,361125,0.631071468363094,4,1416.78488795001,8.7323,26.1969,0.0184903863831475,2000
"172","130899",735.48,69.54,199.62,18.895614673898,595400,0.56815508924255,9,1758.90946161832,21.1696,63.5088,0.0361069181705166,2000
"173","107953",1609.2,134.1,371.79,23.2101998990951,1374900,0.633283492553815,9,1520.01126236224,51.9823,155.9469,0.102595884557884,2000
"174","89562",17.01,4.38,10.71,3.54219948849105,31500,0.381079404466501,2,1613.55305089915,4.0466,12.1398,0.00752364478703389,2000
"175","11365",0,0,0,NA,0,NA,0,1541.57003720699,0,0,0,2000
"176","41777",40.59,8.82,22.5,6.53650793650793,60300,0.342414050822123,3,2750.52085831986,6.8227,20.4681,0.00744153600511243,2000
"177","122563",58.95,9.96,25.92,6.83222591362127,82575,0.416044068320265,4,1396.21012884443,7.1345,21.4035,0.0153297125968528,2000
"178","15433",55.89,7.98,21.69,4.78348947858929,114000,0.527259826461954,3,1433.06437868173,6.5033,19.5099,0.0136141127294972,2000
"179","44895",21.42,2.82,7.83,1.51612903225806,135900,0.634453781512605,1,1664.42288011121,2.2466,6.7398,0.00404933150134879,2000
"180","64573",66.6,12.24,31.14,9.62908202908203,59100,0.415563911608342,6,1409.14986448697,9.3142,27.9426,0.0198294026094756,2000
"181","3415",44.91,8.52,22.86,6.16898174289479,55125,0.453887801335677,4,1919.4967084274,6.8579,20.5737,0.0107182783433141,2000
"182","83257",825.3,72.6,202.68,10.7673227597419,1556550,0.654581967709909,4,1460.16500834567,6.0043,18.0129,0.012336208508659,2000
"183","95693",99.45,15.84,38.52,7.52273863068466,203100,0.462609265734266,3,1611.82340823868,12.1989,36.5967,0.0227051548035222,2000
"184","106958",57.06,17.76,41.67,18.1434173669468,15390,0.256401975942001,10,1539.29854865645,16.2089,48.6267,0.0315901681596744,2000
"185","103855",264.69,25.62,70.56,11.5219771443166,277328.571428571,0.508797276876121,7,1556.68946554632,9.8923,29.6769,0.0190641105094039,2000
"186","107954",0,0,0,NA,0,NA,0,1416.22779011739,0,0,0,2000
"187","129861",34.38,14.28,29.61,14.5790266106443,7950,0.127816475778739,6,1701.23381747738,12.6267,37.8801,0.022266251476337,2000
"188","88502",103.68,11.16,29.79,5.54711538461538,246300,0.447552554532159,3,1489.1137128303,7.429,22.287,0.0149666206200196,2000
"189","56253",103.32,16.02,43.47,10.3745529832486,99750,0.401624501229765,6,1591.46105771779,9.0551,27.1653,0.0170694091874017,2000
"190","3706",68.94,9.66,26.55,5.81623543123543,105975,0.580613884423121,4,1895.69635674525,6.2567,18.7701,0.00990142747978198,2000
"191","1778",7.38,1.5,4.05,1.31578947368421,33300,0.451219512195122,1,1636.98173394479,1.2669,3.8007,0.00232177300527422,2000
"192","15434",0,0,0,NA,0,NA,0,1406.26107510929,0,0,0,2000
"193","137031",3434.58,75.48,213.12,4.26894602234487,16107300,0.769373818028998,2,2233.7914678022,16.0392,48.1176,0.0215407752664318,2000
"194","67663",6.84,2.76,5.85,2.55555555555556,9900,0.144736842105263,1,1407.87541855328,0.8288,2.4864,0.00176606535438697,2000
"195","13405",117.27,8.4,24.75,1.91780821917808,925200,0.78894858019954,1,1529.06678366215,7.0588,21.1764,0.0138492315877022,2000
"196","77986",68.4,21.84,50.4,19.757508912656,20000,0.233056058369815,9,1444.88302070158,19.1281,57.3843,0.0397155334915184,2000
"197","59407",64.98,21.48,49.5,20.6503660555131,15480,0.224214831264252,10,1627.92333224719,18.8436,56.5308,0.0347257139695669,2000
"198","31228",250.56,23.4,64.8,9.38479354360361,371520,0.501871481889828,5,1399.49444841403,9.1229,27.3687,0.0195561333101503,2000
"199","71689",635.49,40.5,118.35,5.34916559691913,2585700,0.751195370704521,2,1540.81344909722,3.3343,10.0029,0.00649196046793387,2000
"200","21788",10.98,3,7.74,3.03676470588235,16200,0.290958164642375,2,1439.44441834455,2.4608,7.3824,0.00512864540368305,2000
"201","125744",0,0,0,NA,0,NA,0,4075.32197671125,0,0,0,2000
"202","19637",12.42,2.88,7.65,2.81944444444444,23850,0.385079365079365,2,1428.16473185769,2.2519,6.7557,0.00473033666866462,2000
"203","29081",0,0,0,NA,0,NA,0,1395.53638096951,0,0,0,2000
"204","51094",0,0,0,NA,0,NA,0,1475.01311420609,0,0,0,2000
"205","20863",11.61,2.7,7.29,2.72058823529412,21600,0.374458353394319,2,1557.42501507951,2.2154,6.6462,0.00426742856680049,2000
"206","139144",6.21,1.44,3.78,1.41176470588235,24300,0.391304347826087,1,1416.55234195926,1.0586,3.1758,0.00224192209912094,2000
"207","18581",0,0,0,NA,0,NA,0,1430.07918888705,0,0,0,2000
