"","LAGOSLAKEI","OBJECTID","A_1","A_2","A_3","IWS_area_ha.x","GAP12_IWS_ha","GAP123_IWS_ha","GAP12_IWS_pct","GAP123_IWS_pct","IWS_area_ha.y","IWS_area_ha"
"131",1491,848,0,0,36900,308.2869025,0,3.69,0,0.0119693699929403,308.2869025,308.2869025
"132",1502,853,0,900,288900,193.103477,0.09,28.98,0.000466071359243314,0.150074977676347,193.103477,193.103477
"133",1511,856,0,0,10737000,2432.812554,0,1073.7,0,0.441341030666188,2432.812554,2432.812554
"134",1513,857,0,3600,31365900,3190.447512,0.36,3136.95,0.000112836835160572,0.983231972380431,3190.447512,3190.447512
"135",1514,858,0,72900,0,3152.580426,7.29,7.29,0.00231239144285672,0.00231239144285672,3152.580426,3152.580426
"136",1517,861,0,108000,0,58.83279066,10.8,10.8,0.18357109834232,0.18357109834232,58.83279066,58.83279066
"137",1525,867,0,2700,0,664.8180735,0.27,0.27,0.000406126143019185,0.000406126143019185,664.8180735,664.8180735
"138",1527,869,0,2160000,0,599.590293,216,216,0.360245992174526,0.360245992174526,599.590293,599.590293
"139",1558,881,0,19376100,0,3574.77691,1937.61,1937.61,0.542022634917377,0.542022634917377,3574.77691,3574.77691
"140",1570,886,0,0,599400,1066.334889,0,59.94,0,0.0562112340300628,1066.334889,1066.334889
"141",1583,895,0,12149100,0,1309.102058,1214.91,1214.91,0.92804834625048,0.92804834625048,1309.102058,1309.102058
"142",1586,897,0,219600,0,4429.216721,21.96,21.96,0.00495798724318055,0.00495798724318055,4429.216721,4429.216721
"143",1588,899,0,0,1800,403.6633109,0,0.18,0,0.000445916176029661,403.6633109,403.6633109
"144",1614,916,0,0,33300,200.7083631,0,3.33,0,0.0165912368999835,200.7083631,200.7083631
"145",1620,919,0,303300,1786500,23585.23416,30.33,208.98,0.00128597408845908,0.00886062858576258,23585.23416,23585.23416
"146",1627,925,0,2634300,102114900,22711.8272,263.43,10474.92,0.0115988025833518,0.461209919737325,22711.8272,22711.8272
"147",1655,938,0,0,2131200,1070.31028,0,213.12,0,0.199119829064895,1070.31028,1070.31028
"148",1669,948,0,1177200,118851300,79311.16947,117.72,12002.85,0.00148428021912511,0.151338709039465,79311.16947,79311.16947
"149",1675,951,0,0,1685700,1900.652751,0,168.57,0,0.0886905827018162,1900.652751,1900.652751
"150",1680,952,0,0,3870000,386.731623,0,387,0,1,386.731623,386.731623
"151",1684,955,0,0,1745100,173.8169067,0,174.51,0,1,173.8169067,173.8169067
"152",1691,959,0,1776600,1240200,4567.298888,177.66,301.68,0.0388982644570906,0.0660521694327091,4567.298888,4567.298888
"153",1697,963,0,218700,0,363.4544625,21.87,21.87,0.0601726000268878,0.0601726000268878,363.4544625,363.4544625
"154",1705,967,0,9900,0,76.4230229,0.99,0.99,0.0129542114723127,0.0129542114723127,76.4230229,76.4230229
"155",1707,969,0,461700,4177800,3440.594928,46.17,463.95,0.0134191908568668,0.134845865238106,3440.594928,3440.594928
"156",1743,992,0,517500,0,315.45874,51.75,51.75,0.164046810051926,0.164046810051926,315.45874,315.45874
"157",1752,998,0,3923100,0,2421.435328,392.31,392.31,0.162015477127787,0.162015477127787,2421.435328,2421.435328
"158",1778,1010,0,0,1182600,1437.824149,0,118.26,0,0.0822492792892992,1437.824149,1437.824149
"159",1782,1012,0,45000,4485600,3155.510218,4.5,453.06,0.0014260768272372,0.143577414966241,3155.510218,3155.510218
"160",1785,1014,0,0,175500,263.9321941,0,17.55,0,0.0664943511716898,263.9321941,263.9321941
"161",1792,1015,0,6164100,4079700,8017.153938,616.41,1024.38,0.0768863869606292,0.127773522614379,8017.153938,8017.153938
"162",1796,1017,0,0,3404700,1007.859417,0,340.47,0,0.337814971271931,1007.859417,1007.859417
"163",1800,1020,0,395100,0,39.50357271,39.51,39.51,1,1,39.50357271,39.50357271
"164",1803,1022,0,1649700,0,421.305985,164.97,164.97,0.39156813782268,0.39156813782268,421.305985,421.305985
"165",1807,1023,0,2216700,0,10733.89993,221.67,221.67,0.0206513943157285,0.0206513943157285,10733.89993,10733.89993
"166",1808,1024,0,900,0,938.553493,0.09,0.09,9.58922434056723e-05,9.58922434056723e-05,938.553493,938.553493
"167",1810,1025,0,774900,0,79.06950366,77.49,77.49,0.980023857658297,0.980023857658297,79.06950366,79.06950366
"168",1823,1032,0,1800,1133100,781.2258222,0.18,113.49,0.000230407130544027,0.145271695808009,781.2258222,781.2258222
"169",1828,1036,0,687600,3120300,414.0162582,68.76,380.79,0.166080434374594,0.919746489317941,414.0162582,414.0162582
"170",1831,1039,0,0,2883600,586.8002905,0,288.36,0,0.491410799667966,586.8002905,586.8002905
"171",1832,1040,0,0,1441800,445.382217,0,144.18,0,0.323721950488203,445.382217,445.382217
"172",1833,1041,0,0,364500,1069.133623,0,36.45,0,0.0340930256198668,1069.133623,1069.133623
"173",1838,1045,0,0,2111400,1766.774784,0,211.14,0,0.119505893966845,1766.774784,1766.774784
"174",1854,1051,0,0,450000,68.89935258,0,45,0,0.653126601556232,68.89935258,68.89935258
"175",1857,1053,0,1277100,1289700,16665.63935,127.71,256.68,0.00766307234411622,0.0154017493484281,16665.63935,16665.63935
"176",1867,1061,2709900,123698700,248400,37338.34035,12640.86,12665.7,0.338549059264762,0.339214327184202,37338.34035,37338.34035
"177",1872,1065,0,18742500,0,3425.224408,1874.25,1874.25,0.547190425136081,0.547190425136081,3425.224408,3425.224408
"178",1898,1077,0,0,3633300,371.7223192,0,363.33,0,0.977423149575572,371.7223192,371.7223192
"179",1905,1080,0,2735100,0,290.1554483,273.51,273.51,0.942632652953703,0.942632652953703,290.1554483,290.1554483
"180",1922,1088,0,1116000,0,422.192313,111.6,111.6,0.264334514304622,0.264334514304622,422.192313,422.192313
"181",1946,1096,0,0,456300,134.4905042,0,45.63,0,0.339280459028869,134.4905042,134.4905042
"182",1958,1103,0,0,9030600,1474.222379,0,903.06,0,0.612567013541449,1474.222379,1474.222379
"183",1965,1105,0,0,151200,765.0016538,0,15.12,0,0.0197646631545099,765.0016538,765.0016538
"184",1976,1111,0,5273100,348300,780.6262133,527.31,562.14,0.675496147856556,0.720114172983794,780.6262133,780.6262133
"185",1985,1115,0,0,1445400,1608.115198,0,144.54,0,0.0898816205330086,1608.115198,1608.115198
"186",1986,1116,0,2961000,0,701.2102039,296.1,296.1,0.42226995322251,0.42226995322251,701.2102039,701.2102039
"187",1997,1123,0,11700,648900,3128.714154,1.17,66.06,0.000373955542887859,0.0211141052676684,3128.714154,3128.714154
"188",2008,1132,0,0,112500,120.5286226,0,11.25,0,0.0933388248975144,120.5286226,120.5286226
"189",2010,1133,0,4434300,0,745.8702256,443.43,443.43,0.594513609446324,0.594513609446324,745.8702256,745.8702256
"190",2013,1135,0,0,383400,2334.726415,0,38.34,0,0.0164216242869724,2334.726415,2334.726415
"191",2047,1153,0,162000,35100,126.1427541,16.2,19.71,0.12842592597239,0.156251543266408,126.1427541,126.1427541
"192",2048,1154,0,129600,0,109.5750603,12.96,12.96,0.118275088916378,0.118275088916378,109.5750603,109.5750603
"193",2051,1156,0,64800,15300,20210.99907,6.48,8.01,0.000320617500280752,0.000396318854513707,20210.99907,20210.99907
"194",2058,1162,0,20700,0,1285.799284,2.07,2.07,0.00160989357029382,0.00160989357029382,1285.799284,1285.799284
"195",2062,1164,0,799200,69122700,22641.57027,79.92,6992.19,0.00352979051571762,0.308820895221416,22641.57027,22641.57027
"196",2075,1172,0,0,26100,6582.520377,0,2.61,0,0.000396504659388463,6582.520377,6582.520377
"197",2093,1180,0,2479500,66600,375.6998007,247.95,254.61,0.659968409719734,0.677695328891879,375.6998007,375.6998007
"198",2110,1192,0,4584600,477000,84252.64256,458.46,506.16,0.00544149104490711,0.00600764539390609,84252.64256,84252.64256
"199",2116,1193,0,120600,859500,2637.417565,12.06,98.01,0.0045726547665576,0.0371613510506062,2637.417565,2637.417565
"200",2119,1195,0,1008900,4909500,5494.881204,100.89,591.84,0.0183607245096686,0.107707515054042,5494.881204,5494.881204
"201",2123,1197,0,0,2835900,283.5988683,0,283.59,0,0.999968729423875,283.5988683,283.5988683
"202",2129,1199,0,636300,0,77.1150882,63.63,63.63,0.825130353673122,0.825130353673122,77.1150882,77.1150882
"203",2155,1213,0,37457100,4916700,22501.04782,3745.71,4237.38,0.166468247610702,0.188319230015307,22501.04782,22501.04782
"204",2182,1226,0,0,3456900,524.2188667,0,345.69,0,0.659438303272346,524.2188667,524.2188667
"205",2187,1228,0,914400,225900,120.9732111,91.44,114.03,0.755869825794845,0.942605383151642,120.9732111,120.9732111
