"","lagoslakeid","iws_lakes_overlapping_area_pct","iws_streamdensity_streams_density_mperha","iws_wl_allwetlandsdissolved_overlapping_area_pct","iws_wl_connectedwetlandsundissolved_overlapping_area_pct","buffer500m_streamdensity_streams_density_mperha","shoreline_wetlands_pct"
"204",1511,0,0.3716,9.073,4.5447,9.8559,0.725082753773735
"205",1513,0,0.3435,14.4418,2.2132,1.4822,0.0701896600174525
"206",1514,0,1.6322,5.1797,3.3588,4.7851,0.270792394543584
"207",1517,0,0,3.4903,0,0,0.0137142200884918
"208",1521,0,0,0.6894,0,1.5866,0.100441402265484
"209",1525,0,1.7914,36.4022,3.2426,2.9384,0.207995099999088
"210",1527,0,5.2142,7.2516,1.8341,2.9171,0.103756309981306
"211",1536,0,6.1907,8.1287,3.1675,4.5912,0
"212",1550,0,2.1001,11.5722,1.6861,6.0494,0.184330715058614
"213",1558,0.3187,3.5115,39.9889,29.1121,2.4697,0.247715321109688
"214",1570,0,0.4093,2.3107,0.2119,2.194,0.100937489681966
"215",1583,0,12.8752,12.8648,8.8217,12.2689,0.677581608929889
"216",1586,0.866,13.4159,15.974,10.9418,12.5681,0.151512561343816
"217",1588,0,3.0006,40.1053,29.8388,4.0068,0.560574615450782
"218",1598,0.7359,9.9535,11.6776,6.5519,10.6614,0.445744694647537
"219",1614,0,0,12.9101,2.0643,3.0952,0.141275293102039
"220",1620,0,7.2331,23.9864,18.4041,11.1092,0.226381707113592
"221",1627,0,3.8933,6.0995,4.6753,7.7441,0.230610861240306
"222",1630,0,0,5.6704,0,0,0
"223",1655,0,4.4755,30.8228,6.2063,3.7615,0.26589286091719
"224",1657,0,5.0855,12.8146,3.83,13.4272,0.546292779647348
"225",1665,0,0.0061,8.8332,0,1.6578,0.184717782642711
"226",1669,0.1602,7.5367,25.7263,19.0615,3.8431,0.0843890070071866
"227",1675,0.2362,0.3819,4.0742,0.223,5.7792,0.213711720999534
"228",1680,0,0.0151,2.2688,1.6802,3.3926,0.527882989246849
"229",1683,0,0.0048,2.5754,0,6.0876,0
"230",1684,0,1.1165,9.2746,6.3935,3.8658,0.531238387474731
"231",1689,0,0.0097,6.3806,0,2.0079,0.199933406070333
"232",1691,0.1272,2.03,55.6307,13.7635,3.7716,0.333122210946077
"233",1697,0,0,3.8206,0,0.1472,0.0959644203638706
"234",1705,0,0,0,0,0.7597,0
"235",1707,0.3153,2.1725,11.8174,4.3179,3.8007,0.102452611416434
"236",1722,0,0,0,0,0,0
"237",1743,1.348,7.995,11.5918,4.8663,7.8536,0.107259953418311
"238",1752,0.2136,7.5342,17.4203,5.9242,6.7985,0.0157273562352991
"239",1759,0,0,0.5424,0,1.2573,0.0382401709417599
"240",1761,0,0,0.6287,0,2.1197,0.0546001952368802
"241",1768,0,0,1.6476,0,0.9438,0.0198455701963077
"242",1778,0.5186,6.4609,31.4043,22.3459,12.3873,0.687056412360691
"243",1782,0.432,4.3202,14.2316,6.8072,5.7638,0.0978301839860472
"244",1785,0,3.0072,20.1661,10.0873,3.9096,0.917013208701405
"245",1787,0,0.0326,6.2958,0.0062,9.4517,0.094504412972513
"246",1789,0,0,16.1243,0,0,0.451519297127985
"247",1792,0.0769,2.0761,1.6063,0.5378,4.7079,0
"248",1796,0.5642,8.7062,14.2613,11.1653,4.8071,0.439240606171725
"249",1800,0,0,28.553,0,1.4568,0.506872715081658
"250",1801,0,0,7.3493,0.0039,1.3411,0.0632097191611727
"251",1803,0,0.6641,3.8209,2.2876,4.9062,0.104016729703473
"252",1805,0,0.013,4.3306,0,2.5652,0
"253",1807,0.0388,7.5502,25.739,13.8899,6.2642,0.317350006929478
"254",1808,0.9359,5.8488,12.3098,8.1756,3.2085,0.0418109402658448
"255",1810,0,0.3857,8.257,0.9342,3.71,0.0836692188048355
"256",1815,0,0,5.8287,0,1.4714,0.0574574469826655
"257",1820,3.6084,2.6138,12.8596,1.0351,7.8765,0
"258",1823,0,0,1.6787,0,0,0.00319981944198677
"259",1828,0,0,0.7293,0,0,0
"260",1831,0,0,7.1598,0,0,0.0104638398543538
"261",1832,0,9.5127,7.3497,3.0047,11.1043,0.0631997521983938
"262",1833,0,4.6374,22.0544,0.8251,3.077,0.121476963259664
"263",1838,0.4493,4.161,6.764,2.3405,7.188,0.0700509677897438
"264",1846,0,3.643,15.9935,6.2539,4.093,0.0667171188030131
"265",1849,0,0.0046,7.1493,0,4.1973,0
"266",1854,0,0,0.4534,0,2.6598,0.01133728270911
"267",1857,0.0254,11.1159,7.9451,3.4922,7.7144,0.0456132062319821
"268",1867,0.0787,8.1153,17.1363,11.7048,6.3924,0.109538829333605
"269",1872,0.2522,2.6895,23.8637,11.1426,6.4007,0.265535233172792
"270",1878,0.3624,9.5246,17.3404,11.6646,13.6707,0.432631160188854
"271",1886,0,0,3.3201,0,3.3348,0.438912478359403
"272",1891,0,7.8116,8.3824,7.2533,4.5929,0.0132317801629597
"273",1894,1.0141,2.1406,9.7392,3.6638,5.0164,0.319844864332998
"274",1898,0,0,0.27,0,0,0
"275",1905,0,0,3.8437,0,0.4895,0.0169342603775635
"276",1920,0,1.8283,25.5994,0.4739,4.1038,0.167400611597735
"277",1922,0,2.2435,2.6868,1.2548,6.3511,0.101097508713105
"278",1935,0,0.0102,1.0013,0,0.7935,0
"279",1946,0,0,0.9549,0,7.1986,0.0488082404267328
"280",1950,0,0,1.1954,0,8.1408,0.0162832426779256
"281",1954,0,0,23.4181,0,0,0.102568124964233
"282",1958,0,1.9682,18.6874,3.6113,3.1212,0.176806910741422
"283",1965,0,5.3032,46.2056,11.74,8.7206,0.486570202890074
"284",1976,0,3.03,14.4083,7.6045,9.0876,0.454362619490168
"285",1985,0,5.2664,10.1545,7.179,4.6892,0.269977758505676
"286",1986,0,0.0031,41.5105,0.0224,1.7215,0.0517440459414398
"287",1997,0.4436,7.3283,4.5139,2.2114,8.9099,0.01473900915744
"288",2008,0,0,9.4143,0,0,0.0811795739377875
"289",2010,0,2.7805,39.3145,12.3255,5.5774,0.22685522083062
"290",2011,0,2.815,17.7489,12.3252,2.3683,0.613519822866934
"291",2013,0,7.9099,15.4533,15.0267,12.1399,0.650856574462594
"292",2036,0,0,3.6502,0,0.2604,0.0605314200605707
"293",2038,0,0.0575,25.399,0,3.8883,0.477644712950672
"294",2043,0,0,3.2321,0,3.6781,0
"295",2047,0,0,6.5031,0,0,0.135899404961065
"296",2048,0,0,3.0164,0,0,0.105255875989808
"297",2051,0.1533,8.9036,7.0582,2.8802,11.3308,0.0737746097207374
"298",2055,0,2.8571,24.8527,10.4397,5.7636,0.557138342513662
"299",2058,0.3808,7.4542,17.0826,5.2836,10.1295,0.16362419991665
"300",2062,0.0217,2.5167,6.9621,3.3608,4.4254,0.573295137296869
"301",2075,0.1029,5.4323,7.2415,3.5841,6.2093,0.231160215370958
"302",2084,0,0,4.4668,0,0,0.0535758179743001
"303",2090,0,0,0.6295,0,0,0
"304",2093,0,2.6389,15.8641,3.1039,3.7693,0.0269244279134755
"305",2098,0,2.2972,3.9998,0,3.2635,0
"306",2103,0,5.5863,20.5302,8.3888,6.7143,0.330654987561074
"307",2108,0,6.8879,3.4094,0,5.1289,0.110481530226577
"308",2110,0.0335,8.7597,10.722,4.8274,12.2249,0.371188741235498
"309",2116,0.9404,6.1199,24.8803,7.161,3.3818,0.314350030675652
"310",2119,0.0922,3.8138,26.6093,17.4321,4.237,0.28364543555964
"311",2120,0,0.0172,0.9311,0,3.1153,0
"312",2121,0.4555,11.026,11.4952,4.3874,9.7201,0.296805286065188
"313",2123,0,0,5.4748,0,3.9883,0.139356671995663
"314",2126,0,7.4493,6.5838,3.1971,6.4234,0.253913341366886
"315",2129,0,0,2.8872,0,0,0.0731213515059197
"316",2130,0,2.3538,12.124,0.1632,5.1524,0.0294276095721144
"317",2136,0,0.0095,26.922,12.0651,3.4492,0.432412064018016
"318",2153,0,11.5864,9.6581,4.9588,6.186,0.402832853708609
"319",2155,0.0206,9.7603,14.7257,9.6276,6.1485,0.198243880489616
"320",2180,0,7.3722,15.4933,4.3696,6.4952,0.266011286192646
"321",2182,0,0,0.5457,0,0,0.0357172444528722
"322",2186,0,0,2.3025,0,0,0.477032729429546
"323",2187,0,5.2938,14.3486,10.66,3.5903,0.356635068872946
"324",2189,0,6e-04,16.9799,0.1658,0.9579,0.193315243555508
"325",2195,0,7.4321,5.6119,2.1006,10.6019,0.103086855986053
"326",2197,0.0656,7.5687,14.9085,9.5284,3.5407,0.0375215605229073
"327",2205,0.2173,7.657,11.8892,3.9482,10.9398,0.392869955257439
"328",2215,0,5.3789,31.2142,14.7457,3.7414,0.4777399579916
"329",2217,0,1.1311,11.2499,0.5252,6.6318,0.389934890263209
"330",2227,0.0435,8.7378,17.3511,8.3037,9.0084,0.0403994563328108
"331",2233,1.3375,5.8154,14.7379,2.0534,2.7852,0.364799314134604
"332",2234,2.5945,0.5629,9.7854,1.9653,5.3054,0.105343876237228
"333",2236,0,0,16.9681,0,2.232,0.0858352339731536
"334",2239,0,0,39.7525,0,0,0.342828264456285
"335",2245,0,0.0965,41.8065,0.3791,1.0528,0.27058900802254
"336",2249,0,0,0,0,0,0
"337",2265,0.0864,6.6531,7.6984,4.4953,8.1721,0.260726755720416
"338",2267,0,0,0.2991,0,0,0.0316638881983198
"339",2268,0,0.0012,6.8322,0,1.2341,0.0975953433519156
"340",2272,0.2275,7.5688,9.5913,3.7224,14.9026,0.276294986264194
"341",2273,0,0,0.3236,0,0,0
"342",2288,0,0,1.8301,0,0,0.0618977729564163
"343",2289,0,0,3.672,0,0,0.0754938923454109
"344",2292,0,4.9633,6.2569,3.6748,4.653,0.120251621763091
"345",2294,0.0967,8.3657,15.9145,7.5546,4.7204,0.0234828858701761
"346",2299,0,7.9733,11.0505,6.9919,9.3059,0.0762662888883969
"347",2304,0,0,0.5987,0,1.2816,0
"348",2311,0.0434,14.0883,9.5382,6.6107,13.9638,0.489132933667603
"349",2313,0,0,1.8091,0,0,0
"350",2317,0,0.5203,17.8878,0.7352,1.6629,0.0718781294110116
"351",2320,0,12.8481,8.8756,7.0859,12.0574,0.0554684376642433
"352",2327,0.0724,9.5046,22.5853,7.216,4.1062,0.000906932320172414
"353",2335,0,0,6.5739,0.5131,1.255,0.00943180156206469
"354",2336,0,2.5218,2.0038,0.2037,2.2843,0.0317949253808705
"355",2338,0,3.6238,20.0633,3.6104,2.9214,0.0085111407607634
"356",2339,0,1.7047,3.7931,1.5782,1.6631,0
"357",2341,0,5.9852,59.0111,38.7517,8.3587,0.288219766080377
"358",2353,0,9.8787,5.4255,3.9365,9.8296,0.607920638834462
"359",2355,0.342,6.97,18.6078,7.4567,7.763,0.159619478958522
"360",2360,0,0,3.0737,0,0,0.0329990392637124
"361",2363,0,4.3583,13.7911,4.9124,5.3608,0.153556826925211
"362",2367,0,1.3828,4.7046,1.8906,2.6343,0.109696629521022
"363",2371,0,2.8252,16.9589,11.9685,3.0141,0.0515209512074966
"364",2372,0,0,5.6253,2.3599,5.7398,0.387962771222019
"365",2373,0,0.0279,23.4549,2.7641,4.792,0.316510899720169
"366",2381,0,0,8.3299,0,1.3524,0.00419520510705224
"367",2386,0.3892,11.0572,24.5428,17.2462,5.6684,0.088749121253892
"368",2391,0.3654,6.7955,40.6448,20.1832,5.3248,0.346664716606899
